"X","Y"
"654","541"
"349.5","682"
"752.5","350.5"
"748.5","632.5"
"917","177"
"912","655"
"417","408"
"435","572.5"
"1002.5","24.5"
"536.5","394.5"
"212.5","683.5"
"405.5","533.5"
"561.5","544"
"578.5","560.5"
"347","361"
"766.5","706"
"736.5","23.5"
"1069.5","270.5"
"81.5","626"
"899.5","156.5"
"135.5","41.5"
"1133.5","139.5"
"765","345"
"523.5","452"
"657.5","156.5"
"444.5","734"
"757","202.5"
"788.5","525"
"609.5","654.5"
"672.5","449"
"568.5","172"
"363.5","576.5"
"896","464"
"597.5","714.5"
"663.5","198"
"121","591"
"263","53.5"
"717","542"
"719.5","365.5"
"102","238.5"
"918","39.5"
"439","149"
"672","472.5"
"445.5","632.5"
"427.5","337.5"
"449.5","434"
"227","529.5"
"403","239.5"
"515","574"
"521.5","358.5"
"1037","87"
"704.5","278.5"
"737.5","669.5"
"2","568"
"566.5","635.5"
"519","782"
"494.5","338"
"81.5","525"
"96.5","341.5"
"640","275"
"855.5","684.5"
"363.5","52.5"
"749","589"
"243","88.5"
"395","603.5"
"784","154"
"58.5","413"
"591","339"
"460.5","435"
"22.5","200.5"
"599","754.5"
"256.5","323"
"684","754.5"
"159.5","4"
"496.5","795"
"673","226.5"
"475.5","596"
"249","744.5"
"789.5","162"
"765.5","453"
"842.5","491"
"320","674.5"
"613.5","765.5"
"77","19.5"
"250.5","798"
"750","515.5"
"637.5","150"
"678.5","687.5"
"604.5","795.5"
"260","602"
"284.5","57.5"
"858","687"
"873","201"
"210","559"
"335.5","513.5"
"886.5","651"
"886","274.5"
"719.5","420.5"
"417","99"
"62.5","399.5"
"1012","301"
"782.5","533"
"24.5","55.5"
"106.5","110.5"
"32.5","372"
"351","339.5"
"189.5","673"
"305.5","774"
"461.5","529"
"163","347"
"653","545"
"473.5","415"
"116","393.5"
"786","744.5"
"650","508"
"760","240"
"792.5","556.5"
"673.5","105.5"
"994.5","109"
"542","611"
"340.5","558"
"698","776"
"567.5","362"
"437.5","38"
"703.5","520"
"727.5","157"
"918","99"
"110","146.5"
"158.5","307"
"60.5","172"
"714.5","603"
"123","182.5"
"760.5","528.5"
"333.5","576"
"773","675.5"
"433","105"
"378","381.5"
"128","195.5"
"61","72"
"450.5","166"
"145.5","579"
"743","722.5"
"412","356"
"568.5","582.5"
"162","130.5"
"239","778"
"783.5","392"
"1030","364.5"
"904.5","720"
"741.5","563"
"329.5","638"
"382","142.5"
"992.5","191"
"919.5","633"
"381","378.5"
"946.5","43.5"
"15","576"
"754.5","94"
"121.5","269.5"
"135","785.5"
"352","186"
"1082","252.5"
"595.5","547"
"786","271"
"855.5","273.5"
"599.5","776"
"499","394.5"
"139","689.5"
"121.5","728.5"
"351","479.5"
"27.5","365"
"530","570"
"17.5","695"
"323.5","186.5"
"288.5","726.5"
"332","206"
"405.5","45.5"
"575","613.5"
"931","432"
"628.5","587.5"
"699.5","99.5"
"705","360.5"
"426","57"
"592.5","585"
"362.5","145.5"
"638.5","128.5"
"605","523.5"
"955.5","56.5"
"45","646"
"989.5","655.5"
"1074.5","264.5"
"591","720.5"
"846","663.5"
"168","623"
"682","446.5"
"387.5","117"
"773.5","18"
"591","594"
"602","156.5"
"118","504.5"
"195.5","756.5"
"602.5","142.5"
"498","85"
"296","630.5"
"344","792.5"
"566.5","421.5"
"127.5","761"
"211","31"
"431","134.5"
"249.5","689.5"
"248","80.5"
"231.5","346"
"505","607.5"
"84","242"
"514","0.5"
"786","351"
"976.5","692.5"
"866.5","396.5"
"546","721.5"
"379.5","580.5"
"104.5","219.5"
"371","185.5"
"179.5","783.5"
"606.5","291.5"
"352","293.5"
"287","45.5"
"300","4.5"
"595","726"
"988.5","201"
"21","121.5"
"481","478"
"702.5","46"
"105.5","459"
"21.5","230.5"
"216.5","121"
"212","169.5"
"208.5","632.5"
"845","368.5"
"654","350"
"841","346.5"
"668.5","459.5"
"514","45"
"933.5","713.5"
"327","690"
"658.5","476"
"408.5","690.5"
"907","27"
"241","64"
"317","333.5"
"169.5","434.5"
"677","78.5"
"1088","70"
"38","751"
"811","586.5"
"402.5","503"
"679.5","690.5"
"658.5","656"
"506","466.5"
"580.5","570"
"3","626"
"749.5","442"
"377","698.5"
"329","657"
"325","551.5"
"811.5","310"
"694.5","206.5"
"138.5","686"
"178.5","662.5"
"208.5","232"
"330.5","731"
"646","350"
"582","681.5"
"940","171"
"724","477"
"755.5","117"
"671.5","494.5"
"44.5","15.5"
"905.5","699.5"
"970","329"
"310.5","576"
"130","347"
"852.5","80.5"
"244","234.5"
"684.5","447"
"384.5","345.5"
"439","259.5"
"854","531.5"
"920","691.5"
"806.5","743.5"
"350","635.5"
"72.5","574"
"94","575"
"0.5","784.5"
"17","607"
"147.5","51.5"
"426","561.5"
"902.5","385.5"
"245","107.5"
"434.5","574"
"780","440.5"
"632","351.5"
"351.5","552.5"
"228.5","563.5"
"577","634"
"804","325"
"238.5","327.5"
"671.5","501.5"
"739","460"
"997","227.5"
"413","261"
"878.5","563"
"996","252"
"61.5","171.5"
"513.5","43.5"
"940.5","427"
"904.5","599"
"836.5","304"
"1036.5","584"
"875","604"
"1.5","613.5"
"458.5","107.5"
"700","112.5"
"456.5","725"
"931","360"
"1115","28.5"
"646","207"
"467.5","125"
"121.5","661.5"
"523","293"
"614","419.5"
"395.5","530"
"574.5","442.5"
"292","52"
"1011","347"
"176.5","391"
"208","155"
"698.5","419.5"
"426","250.5"
"896.5","577"
"273","229"
"233.5","788"
"595.5","604.5"
"462.5","15"
"1013.5","332"
"696.5","748"
"634.5","180.5"
"479.5","721.5"
"844","401.5"
"465","96.5"
"714.5","122.5"
"85","503.5"
"1006.5","591.5"
"81.5","508.5"
"500.5","349"
"601","690"
"586","428.5"
"567.5","270"
"573.5","464.5"
"69.5","295.5"
"625.5","0"
"591","439.5"
"610.5","608"
"938.5","478.5"
"36.5","17.5"
"240","97.5"
"794","706.5"
"703","23.5"
"643","492"
"561.5","482"
"852","639"
"124","715.5"
"791.5","152"
"781","283.5"
"108","78"
"46.5","276.5"
"142","584"
"78","382"
"103.5","41.5"
"410.5","581"
"458.5","453.5"
"50","428"
"772.5","118"
"638","721"
"661.5","21"
"27","228"
"127","417"
"707","625"
"265.5","675.5"
"898","502.5"
"84","15"
"913","95"
"793.5","118.5"
"57.5","505.5"
"721.5","438.5"
"37","309"
"971","154.5"
"830.5","92.5"
"317","611.5"
"502","560.5"
"602","227.5"
"469","337"
"716.5","98"
"501.5","791"
"817","34.5"
"169","268"
"233.5","750.5"
"727","722"
"614.5","319.5"
"66","11.5"
"632","158.5"
"497","466"
"520","294.5"
"569.5","374.5"
"353.5","442.5"
"782.5","222"
"424","261"
"2.5","190"
"785","278"
"879.5","176"
"758","147.5"
"715","621"
"1022.5","641.5"
"729","205"
"290","228.5"
"1042.5","143"
"426","15.5"
"526","11"
"622","49.5"
"534","26.5"
"352.5","49"
"247","794"
"75.5","683"
"632.5","481.5"
"125.5","317"
"462.5","568"
"834","559.5"
"24","180.5"
"30.5","255"
"137","249.5"
"21.5","509.5"
"135.5","36"
"344.5","281"
"1","645"
"673","64"
"684","431"
"884.5","90"
"13.5","316.5"
"467.5","513"
"13","74"
"985.5","210.5"
"560","647.5"
"922.5","194.5"
"213.5","665"
"856.5","154"
"133","696.5"
"432","574"
"932","73.5"
"482","518"
"82","474"
"317.5","720.5"
"623.5","159"
"318","11"
"761","614.5"
"959","708.5"
"578.5","619.5"
"447","483"
"654","673"
"879.5","489.5"
"598","443.5"
"763.5","335"
"701.5","567.5"
"106","451.5"
"391.5","627"
"439.5","72"
"6.5","330"
"78.5","110"
"381","312.5"
"418","47"
"678.5","544.5"
"422.5","37.5"
"482.5","5.5"
"983.5","352.5"
"927.5","595"
"138","534"
"508.5","563"
"666.5","611.5"
