"X","Y"
"422.5","24.5"
"40.5","300.5"
"20.5","1115.5"
"659","1146"
"210.5","108.5"
"555","285"
"42.5","612"
"657.5","798"
"436","79"
"510","912.5"
"710","249"
"283.5","569.5"
"85.5","902.5"
"244.5","624"
"196","1029"
"199","242"
"186","37"
"105","1152"
"494.5","868"
"517.5","480.5"
"710.5","367.5"
"204","284"
"772.5","970"
"512","849.5"
"686.5","663.5"
"457","426.5"
"411.5","1186"
"542","1018"
"138.5","825.5"
"487.5","444"
"91","920.5"
"89","387.5"
"297.5","1140"
"154","1000"
"230.5","969.5"
"434","418"
"495.5","1051.5"
"691","477.5"
"353.5","950"
"259","1166.5"
"143.5","1050"
"68.5","1017"
"264","874.5"
"634.5","1161.5"
"506","964.5"
"90","4.5"
"12","1114.5"
"180.5","705.5"
"15","835.5"
"316.5","957.5"
"502","840"
"349","693.5"
"291","1182"
"46","157"
"64.5","694"
"773.5","281"
"481.5","652.5"
"432","497.5"
"663","471.5"
"394.5","1043.5"
"250","144.5"
"85","1174"
"156.5","1108"
"544","1004.5"
"426","361.5"
"164.5","957"
"671","1058.5"
"741","449.5"
"536","708.5"
"284.5","993"
"230.5","496.5"
"84","470.5"
"19","27"
"193","123.5"
"427.5","563.5"
"198","641.5"
"421.5","424.5"
"600","458"
"764.5","1023"
"234.5","990"
"456.5","1024"
"165","1075.5"
"390","939.5"
"87.5","621"
"372","449.5"
"755.5","994.5"
"201","709.5"
"378","436.5"
"275","166"
"23.5","280"
"262.5","284"
"194.5","94.5"
"653.5","11.5"
"537.5","50"
"771","87"
"482","899"
"161","407"
"464.5","343.5"
"422","997.5"
"751.5","96"
"229.5","224.5"
"371","973"
"483.5","931.5"
"504.5","163"
"71.5","831"
"203.5","725"
"757.5","980.5"
"28","89"
"671.5","10"
"572.5","306"
"364","1026.5"
"501.5","774.5"
"445.5","1162"
"476.5","451"
"302","26"
"610","1183.5"
"515.5","1023.5"
"765.5","1155.5"
"26.5","250"
"531.5","994.5"
"110.5","838.5"
"84.5","600"
"177.5","1069.5"
"701","676.5"
"92.5","591.5"
"745","1083.5"
"198","1180"
"702.5","1090"
"6.5","938"
"631.5","15"
"716","627.5"
"728","2.5"
"56","1127.5"
"30.5","818"
"528","1057.5"
"620.5","151"
"498.5","58.5"
"478","654.5"
"130.5","1146.5"
"164.5","777.5"
"435","66"
"460.5","804.5"
"717.5","655"
"384.5","963.5"
"611","103.5"
"670.5","739"
"585","1136.5"
"509.5","1075"
"177.5","996"
"127","538"
"464.5","949"
"490","1180"
"206.5","120.5"
"405.5","1035"
"0.5","1172"
"46.5","321"
"486.5","423"
"60","1131"
"186.5","232"
"573","989.5"
"6.5","240.5"
"223.5","1130.5"
"309.5","579"
"301.5","67.5"
"236","1088.5"
"712","111"
"27","200"
"280","408"
"99.5","1023"
"196.5","65.5"
"189","1173.5"
"170.5","607.5"
"751.5","981"
"358","1069.5"
"87.5","880"
"526.5","174"
"416","283.5"
"453.5","942.5"
"262","633.5"
"444","61"
"481","303.5"
"457.5","952.5"
"323.5","878.5"
"651.5","1123.5"
"116","1089.5"
"291","999"
"725","965.5"
"464.5","1146"
"448.5","304.5"
"464","166.5"
"734.5","1051"
"453","1124"
"658.5","770.5"
"40.5","1017.5"
"422","1134.5"
"476.5","1186.5"
"673","746"
"155.5","616.5"
"716.5","297"
"554","470.5"
"528","838.5"
"27","1084"
"122.5","1173"
"460.5","88"
"412","959"
"533","807"
"628","449"
"53.5","506"
"403","164.5"
"520","412.5"
"315","1153"
"522.5","1004.5"
"55.5","658.5"
"650.5","1048"
"95","1057.5"
"76.5","604.5"
"700.5","91"
"762.5","210"
"583","873"
"109.5","526.5"
"180","151"
"119","520"
"766.5","1074.5"
"763","1029"
"327.5","1146"
"556","1062"
"689","114"
"529.5","826"
"267.5","979"
"670.5","1136"
"503.5","391.5"
"344.5","827.5"
"156","325.5"
"77","621"
"406","962.5"
"119.5","770.5"
"206","68.5"
"433.5","937"
"655","17.5"
"263.5","154.5"
"160.5","411.5"
"755","1158.5"
"96.5","1064"
"545","544.5"
"464","423.5"
"258.5","563.5"
"202.5","1006"
"269.5","322.5"
"676.5","501.5"
"330.5","889"
"535.5","1120.5"
"380","1165"
"375","1070.5"
"243.5","598.5"
"634.5","1147"
"695.5","15.5"
"449.5","1028"
"606.5","816"
"141.5","1081"
"287","606.5"
"248.5","1145.5"
"135","840"
"493","135.5"
"442","477.5"
"306.5","730.5"
"207.5","153.5"
"477.5","362.5"
"230.5","1033"
"362.5","362.5"
"290.5","727.5"
"590","318"
"717","619"
"234.5","1180.5"
"591.5","465.5"
"49","285"
"474","242"
"202","64.5"
"78.5","943.5"
"31","759.5"
"297","426"
"448","1095.5"
"508","1066"
"320","1121.5"
"640","519"
"95","842"
"624","13.5"
"623","8"
"339.5","593.5"
"360","1016.5"
"180.5","156.5"
"768.5","515.5"
"585","1142.5"
"731","666"
"278.5","722"
"481.5","431"
"601","237"
"168.5","1145.5"
"657.5","545.5"
"732","43"
"595.5","1007.5"
"378","290"
"749.5","509"
"135","141.5"
"205.5","374"
"424.5","295"
"247","574.5"
"739.5","209"
"737","322"
"770","84.5"
"4","1023.5"
"442.5","488"
"549.5","366.5"
"683.5","157"
"164.5","738.5"
"382","898.5"
"722","589.5"
"685.5","691"
"98.5","1151"
"233.5","693"
"262.5","1144"
"634.5","1087"
"42","630.5"
"646","259"
"707.5","560"
"694.5","63.5"
"201","193"
"771","283.5"
"150","1023.5"
"658.5","760.5"
"624","450"
"457.5","449"
"489.5","113.5"
"291.5","653.5"
"365","1169.5"
"101","803.5"
"490.5","415"
"244.5","80.5"
"158","189.5"
"492","147.5"
"726","1165"
"462.5","1132.5"
"462.5","459.5"
"40.5","935"
"427.5","414.5"
"433","898"
"566.5","1162.5"
"58","47"
"747.5","307"
"264.5","866"
"70","762.5"
"326.5","863"
"26.5","84.5"
"699.5","552"
"686","639.5"
"206.5","553"
"221","964.5"
"195","760.5"
"131.5","1006"
"188","1102.5"
"768.5","272"
"680","118.5"
"467.5","1092.5"
"418.5","438"
"654","594.5"
"5","455.5"
"406","366.5"
"472","157.5"
"691.5","359.5"
"713","1178.5"
"621.5","1176.5"
"700","1168"
"769.5","182"
"42","1058"
"241.5","284.5"
"289","202.5"
"488","455"
"34","211"
"702","1082.5"
"408.5","801"
"548.5","430.5"
"391.5","247"
"291","1031"
"43","1083"
"36.5","930.5"
"101.5","1171.5"
"704.5","619.5"
"736","626.5"
"124.5","551"
"163.5","735.5"
"249.5","518"
"353","1168"
"312.5","1045.5"
"368.5","764.5"
"371","770"
"487","603"
"12.5","991.5"
"43.5","818.5"
"260.5","1170"
"683.5","648"
"531.5","641"
"116.5","827.5"
"84","601"
"157","588"
"708.5","1068"
"313.5","1059.5"
"149.5","1182"
"320.5","1160"
"448","96"
"193","1007.5"
"310.5","1077.5"
"468.5","1026"
"524","917.5"
"487","1035"
"526","153"
"617.5","219.5"
"274.5","1009.5"
"148.5","581"
"108.5","1031"
"381.5","518.5"
"368","1116.5"
"338","496.5"
"52.5","1035"
"84.5","3"
"642","247"
"200","35.5"
"276","1028"
"65.5","1181.5"
"226","193.5"
"579","447.5"
"487.5","176"
"760","476"
"347.5","991.5"
"94.5","1122"
"53.5","1079"
"26","754"
"126.5","769"
"581.5","414.5"
"754.5","1110.5"
"452","967.5"
"112","150.5"
"702","6"
"102.5","280.5"
"445.5","413"
"761.5","1060"
"271.5","132"
"454","918.5"
"512.5","177"
"629","798"
"470","121"
"75","1137.5"
"389","1175.5"
"287","1004"
"692","24.5"
"448","156.5"
"90.5","777.5"
"298","283.5"
"239","142.5"
"509","162"
"570","413"
"183.5","208.5"
"128","775.5"
"554.5","98"
"301","1172.5"
"676.5","135"
"529","1167"
"90.5","832"
"551.5","101.5"
"625.5","152.5"
"457.5","1146"
"295.5","86"
"59","497"
"248","1138.5"
"534","336.5"
"65.5","38.5"
"38","118"
"281.5","1092"
"349.5","1155"
"298","579"
"57","1037"
"379","650"
"87.5","730.5"
"306","1079"
"336.5","946"
"496.5","1077"
"548.5","805"
"367","1086.5"
"296","1104"
"190","767"
"210","130.5"
"275","1100.5"
"20","85.5"
"55","1007.5"
"215","386"
"312","1085"
"466.5","1165.5"
"424.5","1030.5"
"467","267"
"97.5","1089"
"678.5","20"
"155","407"
"153.5","628"
"689","687"
"379","1180.5"
"32","1126"
"684","1117.5"
"686.5","671.5"
"772.5","1045"
"149.5","1158.5"
"201.5","742.5"
"220","628"
"397","845.5"
"52.5","547"
"15","941"
"82.5","393"
"628","474.5"
"585","881.5"
"414","346.5"
"393.5","163.5"
"765.5","526"
"371.5","169.5"
"171.5","1000.5"
"452.5","1028"
"739.5","332.5"
"642.5","144"
"585","431"
"632.5","849.5"
"129","1122.5"
"284","591.5"
"691.5","507.5"
"138.5","1109.5"
"649.5","484.5"
"694.5","40"
"700","532.5"
"485.5","277.5"
"130.5","872.5"
"466.5","855"
"519","932.5"
"360.5","586.5"
"450","395"
"610.5","1047.5"
"5","951"
"576.5","398"
"128.5","504"
"339.5","837"
"7","1125"
"479.5","832"
"590","1161"
"704","534.5"
"595.5","867.5"
"465","144.5"
"148","1043.5"
"723.5","603.5"
"643.5","16.5"
"492.5","323.5"
"43","1150"
"593","279.5"
"504.5","850"
"363","478.5"
"536.5","545"
"194.5","12"
"7","785"
"543.5","1075"
"503.5","228"
"533","630.5"
"116.5","1169.5"
"732.5","126"
"320","679.5"
"702.5","591.5"
"542","416"
